epoch,train_loss,train_acc,sameid_val_loss,sameid_val_acc,acc_generalization_gap,loss_generalization_gap,dls_threshold_passed,lr,epoch_time_sec,time_min_total
1,5.694829305899313,0.04490995403511416,4.6889721215264615,0.07674943566591422,-0.03183948163080006,-1.0058571843728519,False,0.0009944154131125641,39.77123188972473,0.6628636479377746
2,3.561344570477971,0.2340441564313164,3.2064792449712933,0.3017306245297216,-0.0676864680984052,-0.3548653255066778,False,0.0009777864028930703,35.08276891708374,1.251708165804545
3,2.2331430695534973,0.4852686308492201,2.6275647192453424,0.4115876598946576,0.0736809709545625,0.3944216496918451,False,0.0009504844339512095,34.71599102020264,1.8376049002011616
4,1.392318191061939,0.6766634014015522,2.5074641575393506,0.4198645598194131,0.2567988415821391,1.1151459664774115,False,0.0009131193871579974,35.472936153411865,2.432758351167043
5,0.8310578031283371,0.8090573430788939,2.3917831432738637,0.4454477050413845,0.3636096380375094,1.5607253401455266,False,0.000866525935914913,39.10065007209778,3.087754786014557
6,0.4612768670239038,0.9000075352271871,1.711545080417435,0.6155003762227238,0.28450715900446333,1.2502682133935312,False,0.0008117449009293667,44.80940580368042,3.840291599432627
7,0.24462869385090763,0.9530555346243689,1.5066615596043607,0.654627539503386,0.29842799512098284,1.262032865753453,False,0.0007499999999999999,45.23993706703186,4.602705597877502
8,0.11738448720682217,0.9819908070228317,1.2860325728259292,0.7005267118133935,0.28146409520943816,1.168648085619107,True,0.0006826705121831975,44.47968888282776,5.355112449328105
9,0.05363608999556069,0.9939718182503202,1.2238078283312808,0.7193378480060195,0.2746339702443007,1.17017173833572,True,0.0006112604669781571,44.73532485961914,6.109316098690033
10,0.028277880285856243,0.998191545475096,1.1853031091352797,0.7283671933784801,0.2698243520966159,1.1570252288494234,True,0.0005373650467932121,59.23619771003723,7.101411346594492
11,0.01448896239633707,0.99924647728129,1.119379603477059,0.7531978931527464,0.24604858412854358,1.1048906410807218,True,0.00046263495320678793,60.61458611488342,8.123183902104696
12,0.009770657229351998,0.999849295456258,1.0920392878078895,0.7554552294958615,0.24439406596039648,1.0822686305785374,True,0.0003887395330218428,46.29939603805542,8.904060383637747
13,0.007180843328594349,0.9999246477281291,1.0770236753358977,0.7607223476297968,0.2392023000983322,1.0698428320073035,True,0.00031732948781680245,45.84332489967346,9.674184266726176
14,0.0060591483363763386,0.999849295456258,1.0727077772332099,0.764484574868322,0.235364720587936,1.0666486288968335,True,0.0002500000000000001,45.75831985473633,10.442608733971914
15,0.005104982254527176,0.9999246477281291,1.0685536923311634,0.7622272385252069,0.23769740920292215,1.063448710076636,True,0.00018825509907063325,47.025922775268555,11.232725699742636
16,0.004575856811165637,1.0,1.0675164424807977,0.7689992475545523,0.2310007524454477,1.0629405856696321,True,0.00013347406408508684,46.70998191833496,12.01549671490987
17,0.004378567042053656,1.0,1.0610382726445424,0.763732129420617,0.23626787057938303,1.0566597056024887,True,8.68806128420025e-05,47.68843698501587,12.814148851235707
18,0.004008138941791941,1.0,1.0635040032854648,0.7629796839729119,0.23702031602708806,1.059495864343673,True,4.951556604879048e-05,52.42324709892273,13.690200503667196
19,0.0038845289070696754,1.0,1.0616021224481886,0.7682468021068473,0.23175319789315274,1.057717593541119,True,2.2213597106929716e-05,70.76771402359009,14.872506252924602
20,0.0039012642960739147,1.0,1.0604280359858045,0.7705041384499624,0.22949586155003765,1.0565267716897306,True,5.584586887435738e-06,73.62035298347473,16.107289632161457
21,0.003770716958268371,1.0,1.0590628860497313,0.7659894657637322,0.23401053423626783,1.055292169091463,True,0.0,80.32011890411377,17.458797132968904
