epoch,margin,train_arcface_loss,sameid_val_arcface_loss,raw_train_acc,raw_sameid_val_acc,margin_train_acc,margin_sameid_val_acc,raw_acc_generalization_gap,margin_acc_generalization_gap,arcface_loss_generalization_gap,test_retrieval_rank1,test_retrieval_retrieval_error,test_retrieval_genuine_cos_mean,test_retrieval_genuine_cos_std,test_retrieval_impostor_cos_mean,test_retrieval_impostor_cos_std,test_retrieval_cosine_mean_gap,lr,epoch_time_sec,time_min_total
1,0.0,6.314426845167946,4.282295580104027,0.07105719237435008,0.1708051166290444,0.0660085901589933,0.1708051166290444,-0.09974792425469432,-0.10479652647005111,-2.032131265063919,0.08721804511278196,0.912781954887218,0.799774169921875,0.08881936967372894,0.5999637842178345,0.1322472095489502,0.19981038570404053,0.0002983246239337692,41.806490898132324,0.6967857321103413
2,0.0,2.926426950822212,3.13837528569614,0.413910029387386,0.35741158765989467,0.3989902795569286,0.35741158765989467,0.056498441727491355,0.04157869189703395,0.21194833487392817,0.1368421052631579,0.8631578947368421,0.7337247729301453,0.09235148131847382,0.5322698354721069,0.10380268841981888,0.20145493745803833,0.00029333592086792107,36.87813401222229,1.3151631832122803
3,0.0,1.390148754055557,2.564053997946826,0.7175796850275036,0.4672686230248307,0.7043930374500791,0.4672686230248307,0.2503110620026729,0.2371244144252484,1.173905243891269,0.18421052631578946,0.8157894736842105,0.7064794301986694,0.09711875021457672,0.5052765011787415,0.0906473770737648,0.20120292901992798,0.0002851453301853628,37.16359305381775,1.9383314649264018
4,0.0,0.615662817224365,2.230395204057543,0.8874990580966016,0.5357411587659895,0.879587069550147,0.5357411587659895,0.3517578993306121,0.3438459107841575,1.614732386833178,0.20300751879699247,0.7969924812030076,0.6818619966506958,0.09828945994377136,0.4939699172973633,0.07493392378091812,0.18789207935333252,0.0002739358161473992,38.29325222969055,2.579226799805959
5,0.0,0.26497411585529623,2.0587016795253827,0.9602140004521136,0.5598194130925508,0.9563710345866928,0.5598194130925508,0.4003945873595628,0.396551621494142,1.7937275636700865,0.22330827067669173,0.7766917293233082,0.6731219291687012,0.09925235062837601,0.48855969309806824,0.07091624289751053,0.18456223607063293,0.00025995778077447383,43.332348108291626,3.304153533776601
6,0.05,1.059828828196942,4.197913385137209,0.9663175344736644,0.5703536493604213,0.7550297641473891,0.3039879608728367,0.3959638851132431,0.4510418032745524,3.1380845569402673,0.24736842105263157,0.7526315789473684,0.6677578091621399,0.10087163001298904,0.4953406751155853,0.06371151655912399,0.17241713404655457,0.00024352347027880995,51.230560064315796,4.16024949947993
7,0.1,2.073870128222053,6.2446604033356055,0.9767161479918619,0.6222723852520692,0.5072714942355512,0.1948833709556057,0.3544437627397927,0.3123881232799455,4.170790275113553,0.27518796992481204,0.7248120300751879,0.6624419689178467,0.10405701398849487,0.49152737855911255,0.059953682124614716,0.17091459035873413,0.00022499999999999994,50.24077582359314,4.998645929495494
8,0.15,2.4516359056257624,8.02931196730867,0.9887725114912215,0.6704288939051919,0.46334111973476,0.14973664409330323,0.3183436175860296,0.31360447564145677,5.577676061682908,0.3360902255639098,0.6639097744360902,0.6488763689994812,0.11125791072845459,0.4740546643733978,0.054894428700208664,0.17482170462608337,0.0002048011536549592,44.08213782310486,5.734397546450297
9,0.2,2.5380970520528026,9.354104282445169,0.9955542159596111,0.7163280662151994,0.47426719915605453,0.1489841986455982,0.27922614974441173,0.32528300051045633,6.8160072303923664,0.38571428571428573,0.6142857142857143,0.6452654004096985,0.11574942618608475,0.4651238024234772,0.0521312914788723,0.1801415979862213,0.00018337814009344712,46.20139789581299,6.505458315213521
10,0.25,2.3805392439368442,11.260972422706713,0.99849295456258,0.7223476297968398,0.5145806646070379,0.12490594431903687,0.2761453247657403,0.389674720288001,8.880433178769868,0.4052631578947368,0.5947368421052632,0.642913281917572,0.12241371721029282,0.4541172683238983,0.05192945525050163,0.1887960135936737,0.00016120951403796364,44.98897695541382,7.256377232074738
