epoch,margin,train_arcface_loss,sameid_val_arcface_loss,raw_train_acc,raw_sameid_val_acc,margin_train_acc,margin_sameid_val_acc,raw_acc_generalization_gap,margin_acc_generalization_gap,arcface_loss_generalization_gap,test_retrieval_rank1,test_retrieval_retrieval_error,test_retrieval_genuine_cos_mean,test_retrieval_genuine_cos_std,test_retrieval_impostor_cos_mean,test_retrieval_impostor_cos_std,test_retrieval_cosine_mean_gap,lr,epoch_time_sec,time_min_total
11,0.25,1.0342840054105071,10.421541757203297,0.999698590912516,0.744168547780286,0.7829854570115289,0.17005267118133935,0.25553004313223004,0.6129327858301895,9.38725775179279,0.42105263157894735,0.5789473684210527,0.6380423903465271,0.13042645156383514,0.447708398103714,0.05304894968867302,0.1903339922428131,0.0001387904859620364,47.487029790878296,8.048869748910269
12,0.25,0.4534188207809033,9.998686328339703,0.999698590912516,0.746425884123401,0.9098033305704167,0.20617005267118135,0.25327270678911495,0.7036332778992354,9.5452675075588,0.4421052631578947,0.5578947368421052,0.6334106922149658,0.13340087234973907,0.44095125794410706,0.05297716334462166,0.19245943427085876,0.00011662185990655284,46.281445264816284,8.821336317062379
13,0.25,0.2071962533234454,9.700972556350283,0.9999246477281291,0.7539503386004515,0.9613442845301786,0.2310007524454477,0.2459743091276776,0.7303435320847309,9.493776303026838,0.45263157894736844,0.5473684210526315,0.6352667212486267,0.13473495841026306,0.44080850481987,0.05364936962723732,0.1944582164287567,9.519884634504074e-05,47.392072916030884,9.612246366341909
14,0.25,0.10945340248937659,9.625284326982463,1.0,0.7539503386004515,0.9817647502072188,0.23325808878856283,0.24604966139954854,0.748506661418656,9.515830924493086,0.4639097744360902,0.5360902255639097,0.6356701850891113,0.1343776136636734,0.4400918483734131,0.05360141396522522,0.19557833671569824,7.500000000000003e-05,48.324543952941895,10.420249215761821
15,0.25,0.06022403273731751,9.571654589576234,1.0,0.7607223476297968,0.9915605455504484,0.2400300978179082,0.23927765237020315,0.7515304477325402,9.511430556838917,0.456390977443609,0.543609022556391,0.6354045271873474,0.13528519868850708,0.4398723244667053,0.053709518164396286,0.1955322027206421,5.647652972118998e-05,48.28086185455322,11.226319448153179
16,0.25,0.03684342902306156,9.48244145653856,0.9999246477281291,0.7652370203160271,0.9962323864064502,0.24153498871331827,0.23468762741210192,0.7546973976931319,9.445598027515498,0.4631578947368421,0.5368421052631579,0.6358857750892639,0.1355409175157547,0.4393276870250702,0.0536188930273056,0.19655808806419373,4.004221922552605e-05,48.66442894935608,12.03974481423696
17,0.25,0.02441057801851852,9.440196721871335,1.0,0.7607223476297968,0.998040840931354,0.23777276147479307,0.23927765237020315,0.7602680794565609,9.415786143852817,0.4616541353383459,0.5383458646616541,0.6365602016448975,0.13534991443157196,0.4399402141571045,0.05330420657992363,0.19661998748779297,2.606418385260075e-05,49.91249394416809,12.874397019545237
18,0.25,0.019538291711810755,9.40298812025198,1.0,0.7652370203160271,0.9987190113781931,0.24153498871331827,0.23476297968397286,0.7571840226648748,9.383449828540169,0.46766917293233085,0.5323308270676692,0.6350595951080322,0.13590344786643982,0.4375389814376831,0.05321124568581581,0.19752061367034912,1.4854669814637144e-05,48.600866079330444,13.685480332374572
19,0.25,0.017893392558141315,9.39735426303585,1.0,0.7607223476297968,0.9991711250094191,0.24379232505643342,0.23927765237020315,0.7553787999529856,9.37946087047771,0.46691729323308273,0.5330827067669173,0.6338834166526794,0.13627943396568298,0.43600425124168396,0.053196270018815994,0.19787916541099548,6.664079132078915e-06,48.991801023483276,14.503166584173838
20,0.25,0.014516798759016993,9.407353213176053,1.0,0.7622272385252069,0.9996232386406451,0.24303987960872836,0.2377727614747931,0.7565833590319166,9.392836414417037,0.46616541353383456,0.5338345864661654,0.6355932950973511,0.1358814686536789,0.43845680356025696,0.053035296499729156,0.19713649153709412,1.6753760662307215e-06,49.47662377357483,15.328878279527029
21,0.25,0.014884930782491122,9.407037201817543,1.0,0.7622272385252069,0.999397181825032,0.24454477050413845,0.2377727614747931,0.7548524113208935,9.392152271035052,0.46691729323308273,0.5330827067669173,0.636112630367279,0.13553786277770996,0.43895307183265686,0.05304069072008133,0.1971595585346222,0.0,50.73622393608093,16.175762379169463
