FPR,CE_TPR,ArcFace_TPR,CE_minus_ArcFace,CE_cosine_threshold,ArcFace_cosine_threshold
0.5,0.9843971631205674,0.975177304964539,0.009219858156028327,0.3992816209793091,0.4890240430831909
0.2,0.9290780141843972,0.902127659574468,0.026950354609929117,0.4752236306667328,0.5542870759963989
0.1,0.8673758865248227,0.7886524822695036,0.0787234042553191,0.5223042368888855,0.5921499133110046
0.05,0.7971631205673759,0.6822695035460993,0.11489361702127665,0.5648108720779419,0.6248148083686829
0.01,0.5893617021276596,0.43829787234042555,0.15106382978723404,0.6496098637580872,0.687800407409668
0.001,0.29929078014184396,0.19290780141843972,0.10638297872340424,0.7435117959976196,0.7572348713874817
0.0001,0.1276595744680851,0.07163120567375887,0.056028368794326225,0.8125986456871033,0.8107845187187195
