model,population,n,mean,median,std,min,max,p99,p999
CE,genuine,1410,0.6714129322598167,0.6809631884098053,0.12243787854336172,0.31265026330947876,0.9568261504173279,0.9128091454505922,0.9468687333464622
CE,query_impostor,439920,0.41003763942960136,0.39963194727897644,0.08389225970234317,0.1600012630224228,0.8959522247314453,0.6494408440589905,0.74083314794302
CE,query_distractor,1759680,0.4094992613504741,0.39919090270996094,0.08420338007353265,0.14921249449253082,0.9051361083984375,0.6496607631444928,0.7439885228276253
CE,impostor,2199600,0.4096069369662995,0.3992816060781479,0.08414152361582411,0.14921249449253082,0.9051361083984375,0.6496096867322921,0.7435091539621357
ArcFace,genuine,1410,0.6724137100978946,0.6721825897693634,0.09295569964300447,0.3850697875022888,0.9183734655380249,0.8831828266382218,0.9137480111718173
ArcFace,query_impostor,439920,0.49520687101147004,0.48835669457912445,0.07156018269477854,0.2603813111782074,0.8575979471206665,0.6874632453918457,0.7595267067551613
ArcFace,query_distractor,1759680,0.49601097012509104,0.48920029401779175,0.07170120280886663,0.26003700494766235,0.8793975114822388,0.6878943848609924,0.7566666849255561
ArcFace,impostor,2199600,0.49585015030236684,0.4890240430831909,0.07167374267410709,0.26003700494766235,0.8793975114822388,0.6877991092205045,0.7572341573238374
