FPR_target,CE_threshold,CE_TPR,CE_FPR_actual,CE_FRR,CE_false_accept_rank,ArcFace_threshold,ArcFace_TPR,ArcFace_FPR_actual,ArcFace_FRR,ArcFace_false_accept_rank,CE_minus_ArcFace_TPR
0.5,0.3992816209793091,0.9843971631205674,0.5,0.015602836879432647,1099800,0.4890240430831909,0.975177304964539,0.5000004546281142,0.024822695035460973,1099800,0.009219858156028327
0.2,0.4752236306667328,0.9290780141843972,0.2,0.07092198581560283,439920,0.5542870759963989,0.902127659574468,0.2,0.09787234042553195,439920,0.026950354609929117
0.1,0.5223042368888855,0.8673758865248227,0.1,0.13262411347517733,219960,0.5921499133110046,0.7886524822695036,0.1,0.21134751773049643,219960,0.0787234042553191
0.05,0.5648108720779419,0.7971631205673759,0.05,0.20283687943262407,109980,0.6248148083686829,0.6822695035460993,0.05,0.3177304964539007,109980,0.11489361702127665
0.01,0.6496098637580872,0.5893617021276596,0.01,0.4106382978723404,21996,0.687800407409668,0.43829787234042555,0.01,0.5617021276595744,21996,0.15106382978723404
0.001,0.7435117959976196,0.29929078014184396,0.001000181851245681,0.700709219858156,2200,0.7572348713874817,0.19290780141843972,0.001000181851245681,0.8070921985815602,2200,0.10638297872340424
0.0001,0.8125986456871033,0.1276595744680851,0.0001000181851245681,0.8723404255319149,220,0.8107845187187195,0.07163120567375887,0.0001000181851245681,0.9283687943262411,220,0.056028368794326225
