epoch,train_loss,train_stack1_loss,train_stack2_loss,val_loss,val_stack1_loss,val_stack2_loss,val_nme_stack1,val_nme_stack2,val_nme,stack2_nme_improvement_over_stack1,valid_nme_samples,learning_rate,elapsed_seconds
1.0,0.002434291495049062,0.001205586635779279,0.001228704864029876,0.00044535264075966553,0.0002532408984261565,0.00019211174367228523,0.03927263990044594,0.03894020617008209,0.03894020617008209,0.0003324337303638458,4000.0,0.0002,189.0996537430001
2.0,0.0004475039477240191,0.00024610412139251515,0.00020139982608897197,0.00047053672675974664,0.00020963917989865876,0.00026089754697750323,0.03508109226822853,0.03536105528473854,0.03536105528473854,-0.00027996301651000977,4000.0,0.0002,159.14642382800002
3.0,0.00038487295686112096,0.00020577222211027725,0.00017910073459562328,0.00032364554959349334,0.00018294070157571696,0.0001407048491819296,0.03422906622290611,0.033974021673202515,0.033974021673202515,0.000255044549703598,4000.0,0.0002,158.51080583500016
4.0,0.0003439643857159859,0.0001817069841167217,0.00016225740182886108,0.0004710043992381543,0.000165460141870426,0.00030554425745503975,0.033231981098651886,0.033067137002944946,0.033067137002944946,0.0001648440957069397,4000.0,0.0002,159.322679291
5.0,0.00032103273624347315,0.00016793579423554346,0.0001530969421033256,0.00047787509521003815,0.00019548545134603047,0.00028238964328193106,0.03359384462237358,0.033629562705755234,0.033629562705755234,-3.571808338165283e-05,4000.0,0.0002,159.55192630500005
6.0,0.0003004087137782739,0.0001564312375202361,0.000143977476416492,0.00035284117702394726,0.00013439200703578536,0.00021844917055568658,0.033575862646102905,0.03378117084503174,0.03378117084503174,-0.000205308198928833,4000.0,0.0002,160.97466703100008
7.0,0.00028638333067323806,0.0001489794144468356,0.00013740391620376612,0.00030897772591561076,0.00014198922431387474,0.00016698850112152285,0.03401961550116539,0.03386303782463074,0.03386303782463074,0.0001565776765346527,4000.0,0.0002,160.14295469400008
8.0,0.00028084814863460554,0.00014623764607111096,0.000134610502852916,0.00023507298607728443,0.0001222785213321913,0.00011279446448315866,0.03322277590632439,0.03309880942106247,0.03309880942106247,0.00012396648526191711,4000.0,0.0001,159.3588858789999
9.0,0.000235746604435715,0.00012245098437415437,0.00011329561995969723,0.00018469033710425718,9.471708654018585e-05,8.997325057134731e-05,0.03137732669711113,0.031182853505015373,0.031182853505015373,0.00019447319209575653,4000.0,0.0001,159.57664076899982
10.0,0.0002315831571241789,0.00012013949093104909,0.00011144366642272669,0.00019217361448681914,9.80580051400466e-05,9.411560939770424e-05,0.03178876265883446,0.0314117968082428,0.0314117968082428,0.00037696585059165955,4000.0,0.0001,159.7494442699999
11.0,0.0002279881877637106,0.00011835581584859433,0.00010963237164994805,0.00020014731347328053,9.931016295740847e-05,0.00010083715096698143,0.031504061073064804,0.031261421740055084,0.031261421740055084,0.00024263933300971985,4000.0,0.0001,159.53807017200006
12.0,0.0002253342112720323,0.00011718844154933726,0.00010814576989893492,0.0001879240153793944,9.548237610579235e-05,9.24416389025282e-05,0.03150053322315216,0.031058475375175476,0.031058475375175476,0.00044205784797668457,4000.0,0.0001,159.92966489800028
13.0,0.00022543261191781817,0.00011722912675112538,0.00010820348540922472,0.00018275192474538927,9.494118180009536e-05,8.78107430471573e-05,0.031200073659420013,0.031067488715052605,0.031067488715052605,0.00013258494436740875,4000.0,0.0001,160.6358115969997
14.0,0.00022338576355185877,0.000116098601007252,0.00010728716278067118,0.000183005238417536,9.194643584487494e-05,9.105880283459555e-05,0.031269557774066925,0.030936067923903465,0.030936067923903465,0.0003334898501634598,4000.0,0.0001,160.72031706300004
15.0,0.00022263954937160532,0.00011574570676829252,0.00010689384268900742,0.0001880744816735387,9.77243591187289e-05,9.035012252570596e-05,0.03125641122460365,0.031193092465400696,0.031193092465400696,6.331875920295715e-05,4000.0,0.0001,160.7641628030001
